strategy,criterion,E1,E2,E3,E4
S1,C1,MH,MH,M,VL
S1,C2,MH,M,M,MH
S1,C3,H,MH,MH,EH
S1,C4,H,VH,EH,EH
S1,C5,MH,MH,EH,EH
S2,C1,VH,VH,VH,EH
S2,C2,VH,VH,VH,VH
S2,C3,H,VH,VH,VH
S2,C4,H,H,EH,EH
S2,C5,H,MH,EH,EH
S3,C1,MH,MH,M,M
S3,C2,MH,M,M,M
S3,C3,M,ML,ML,ML
S3,C4,H,MH,VH,VH
S3,C5,H,EH,EH,EH
