id,name,short_definition
S1,Locating BRT lanes outside the roadways,"Recommended to minimize risks/accidents for pedestrians and BRT users by reducing conflicts between BRT vehicles and other road users."
S2,Awareness campaign and fines,"Addresses pedestrian traffic rule violations and reduces negligence contributing to unnecessary accidents involving road users."
S3,"Special considerations in designs, operation and management","Creates a safe environment for potential BRT users including schoolchildren, the elderly, and individuals with disabilities."
